count_star(),unified_acl_codes
24918,AC0
24918,AC01
47544,AC02
24918,AC03
20202,AC111
20202,AC12
20202,AC11-12
24918,AC2
24918,AC212
24918,AC21_X_212
20166,AC22
20202,AC3
24918,AC312
24918,AC31_X_312
25926,AC321
24918,AC32_X_321
20202,AC331
20202,AC332
24918,AC33
20148,AC342
20202,AC343
20166,AC344
20202,AC341_349
24918,AC35
24918,AC36
20202,AC37
24918,AC38_X_382-383
24918,AC382_383
24918,AC4-8_998_X_713
20202,AC998
20202,AC41
20202,AC42
20202,AC43
35979,AC512_513_519
29256,AC519
24918,AC52
29256,AC53
24918,AC611
24918,AC6_X_611
20166,AC733
26925,AC72
24918,AC711_712_719_731_732_739
20202,AC811
24918,AC812
47526,AC82
29274,AC83
24882,AC900
24918,AC910
24882,AC936
20202,AC938
20202,AC999
20202,AC9_X_910
24918,AC920
20166,AC939
24882,AC940-980
57024,TOTAL
11061,AC38
11061,AC3_713_X_38
15741,AC511
11079,AC81
8397,""
396,AC_NP_MAIN
792,AC_NP_SEC
21315,AC0_X_021
21315,AC1_2
18270,AC3_713_936
21315,AC4-8_998_X_713_821
21315,AC910_920
22986,AC9
396,AC_PNP_MAIN
9768,AC021
4716,AC1
4716,AC221
4716,AC300_371
4716,AC34
4716,AC39
4716,AC3_713
4716,AC4
6723,AC514-516
6723,AC531
4716,AC733-735
4716,AC81_X_812
9768,AC821
6723,AC831
4716,AC938_939
7761,AC995-999
2007,AC121
3045,AC3_713_936-980
